question,answer
How do I reset my password?,Visit the IT portal and select Forgot Password.
Where is the registrar office?,The registrar office is located in Building A room 210.
How do I pay tuition?,Tuition can be paid online through the finance portal.
How do I contact technical support?,Email support@university.edu.
What are the library hours?,The library is open from 8 AM to 10 PM.
How do I register for courses?,Log into the student portal and open course registration.
How can I apply for scholarships?,Visit the scholarships section on the university website.
I cannot access my account.,"Visit the IT portal and select Forgot Password. If the issue continues, contact technical support."
My student portal is not working.,"Try refreshing the page, clearing your browser cache, or contacting technical support."
I am extremely frustrated with tuition payment.,"Tuition can be paid online through the finance portal. If you are still having issues, contact a student advisor."
Where can I get academic advising?,You can book an appointment with an academic advisor through the student services portal.
How do I drop a course?,Log into the student portal and select the course drop option before the deadline.
How do I add a course?,"Log into the student portal, search for the course, and select enroll if seats are available."
Where can I find exam schedules?,Exam schedules are posted on the registrar website.
How do I get my student ID card?,Visit the student ID office with government identification and your student number.
How do I contact financial aid?,You can contact financial aid through the finance portal or by visiting the student services office.
How do I request a transcript?,Official transcripts can be requested through the student portal.
Where can I find my grades?,Grades are available in the student portal under the academic record section.
How do I change my program?,Program change requests can be submitted through the academic advising office.
How do I apply for graduation?,Graduation applications can be submitted through the student portal before the deadline.
What should I do if I miss an exam?,Contact your instructor and academic advising office as soon as possible.
How do I find my classroom?,Check your class schedule in the student portal for the building and room number.
How do I contact my professor?,You can find your professor's email in the course outline or student portal.
Where can I get help with assignments?,"You can ask your instructor, teaching assistant, tutoring center, or academic support services."
How do I access online course materials?,Log into the learning management system and open your course page.
How do I connect to campus Wi-Fi?,Select the campus Wi-Fi network and log in using your student username and password.
Where is the health clinic?,The health clinic is located in the student services building.
How do I book a counselling appointment?,Counselling appointments can be booked through student wellness services.
What do I do if I feel overwhelmed?,You can contact student wellness services or speak with an academic advisor for support.
How do I report a problem with a course?,You can contact the department office or speak with an academic advisor.
How do I get proof of enrollment?,Proof of enrollment letters can usually be downloaded from the student portal.
How do I update my personal information?,You can update your personal information in the student portal under account settings.
Where can I find important academic dates?,Important dates are posted on the academic calendar.
How do I withdraw from the university?,Contact the registrar or academic advising office before submitting a withdrawal request.
How do I check tuition deadlines?,Tuition deadlines are listed on the finance office website and academic calendar.
How do I appeal a grade?,Grade appeal instructions are available from your department or registrar office.
How do I find parking information?,Parking information is available on the campus parking services website.
How do I access the library database?,Log into the library website using your student account to access online databases.
